category,subcategory,model,structure_loaded,valid_residues,backbone_connected,bond_lengths,bond_angles,steric_clashes,aromatic_flatness,peptide_planarity,chirality,complete_residues,internal_energy,all_pass,n_pass
Boltz,relaxed_dualspace_beta,boltz_input_model_3_r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_beta,boltz_input_model_3_r2,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_beta,boltz_input_model_3_r3,True,True,True,True,False,True,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_beta,boltz_input_model_3_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_beta,boltz_input_model_3_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_beta,boltz_input_model_4_r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_beta,boltz_input_model_4_r2,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_beta,boltz_input_model_4_r3,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_beta,boltz_input_model_4_r4,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_beta,boltz_input_model_4_r5,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_ref15,boltz_input_model_0_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_0_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_0_r3,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_dualspace_ref15,boltz_input_model_0_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_0_r5,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_dualspace_ref15,boltz_input_model_1_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_1_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_1_r3,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_dualspace_ref15,boltz_input_model_1_r4,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_ref15,boltz_input_model_1_r5,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_ref15,boltz_input_model_2_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_2_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_2_r3,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_dualspace_ref15,boltz_input_model_2_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_2_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_3_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_3_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_3_r3,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_dualspace_ref15,boltz_input_model_3_r4,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_ref15,boltz_input_model_3_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_4_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_4_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_4_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_dualspace_ref15,boltz_input_model_4_r4,True,True,True,True,False,False,True,True,True,True,True,False,9
Boltz,relaxed_dualspace_ref15,boltz_input_model_4_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_0_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_0_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_0_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_0_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_0_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_1_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_1_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_1_r3,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_beta,boltz_input_model_1_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_1_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_2_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_2_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_2_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_2_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_2_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_3_r1,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_beta,boltz_input_model_3_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_3_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_3_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_3_r5,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_beta,boltz_input_model_4_r1,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_beta,boltz_input_model_4_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_4_r3,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_beta,boltz_input_model_4_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_beta,boltz_input_model_4_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_0_r1,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_ref15,boltz_input_model_0_r2,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_ref15,boltz_input_model_0_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_0_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_0_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_1_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_1_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_1_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_1_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_1_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_2_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_2_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_2_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_2_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_2_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_3_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_3_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_3_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_3_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_3_r5,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_ref15,boltz_input_model_4_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_4_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_4_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Boltz,relaxed_normal_ref15,boltz_input_model_4_r4,True,True,True,True,True,True,True,True,True,True,True,True,11
Boltz,relaxed_normal_ref15,boltz_input_model_4_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,original,exp,True,True,True,True,False,True,True,True,True,True,False,False,9
Experimental,relaxed_cartesian_beta,r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_beta,r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_beta,r3,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_beta,r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_beta,r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_ref15,r1,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_ref15,r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_ref15,r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_cartesian_ref15,r4,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_cartesian_ref15,r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_beta,r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_dualspace_beta,r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_beta,r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_beta,r4,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_beta,r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_ref15,r1,True,True,True,True,False,True,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_ref15,r2,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_ref15,r3,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_dualspace_ref15,r4,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_dualspace_ref15,r5,True,True,True,True,True,False,True,True,True,True,True,False,10
Experimental,relaxed_normal_beta,r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_beta,r2,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_beta,r3,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_beta,r4,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_beta,r5,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_ref15,r1,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_ref15,r2,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_ref15,r3,True,True,True,True,False,False,True,True,True,True,True,False,9
Experimental,relaxed_normal_ref15,r4,True,True,True,True,False,True,True,True,True,True,True,False,10
Experimental,relaxed_normal_ref15,r5,True,True,True,True,False,False,True,True,True,True,True,False,9
AlphaFold,raw,model0,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,raw,model1,True,True,True,True,True,True,True,False,True,True,True,False,10
AlphaFold,raw,model2,True,True,True,True,True,False,True,True,True,True,False,False,9
AlphaFold,raw,model3,True,True,True,True,True,True,True,True,True,True,True,True,11
AlphaFold,raw,model4,True,True,True,True,True,True,True,False,True,True,False,False,9
AlphaFold,relaxed_cartesian_beta,ranked_0_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_0_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_0_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_0_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_0_r5,True,True,True,True,True,True,True,True,True,True,True,True,11
AlphaFold,relaxed_cartesian_beta,ranked_1_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_1_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_1_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_1_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_1_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_2_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_2_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_2_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_2_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_2_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_3_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_3_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_3_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_3_r4,True,True,True,True,True,True,True,True,True,True,True,True,11
AlphaFold,relaxed_cartesian_beta,ranked_3_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_4_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_4_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_4_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_4_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_beta,ranked_4_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_ref15,ranked_0_r1,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_ref15,ranked_0_r2,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_ref15,ranked_0_r3,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_ref15,ranked_0_r4,True,True,True,True,True,False,True,True,True,True,True,False,10
AlphaFold,relaxed_cartesian_ref15,ranked_0_r5,True,True,True,True,True,False,True,True,True,True,True,False,10
